model,id,query,Q_target,Q_trap,baseline_rank,final_rank,final_trap_rank
bge-m3,excluir_1369,"What are some characteristics and influences of alternative country music as a subgenre, apart from any information about the Cowboy Junkies or their album ""Lay It Down""?",characteristics and influences of alternative country music as a subgenre,information about the Cowboy Junkies or their album 'Lay It Down',2,87535,1
bge-m3,excluir_1502,"Who else has played for Tottenham Hotspur, aside from Danny Blanchflower?",players who have played for Tottenham Hotspur,players who have played for Tottenham Hotspur aside from Danny Blanchflower,4,566,2019
bge-m3,excluir_1047,"Please tell me the main life experiences of Martha Garth Williams, excluding the part about Robin Williams?",main life experiences of Martha Garth Williams,main life experiences of Martha Garth Williams related to Robin Williams,1,609,5948
bge-m3,excluir_2930,"Can you provide the names and locations of two abandoned mines in Northeastern Ontario, Canada, without including any information about the Temagami-Lorrain Mine?","names and locations of two abandoned mines in Northeastern Ontario, Canada",information about the Temagami-Lorrain Mine,2,10,34
bge-m3,excluir_2979,"What was Robert Wallace Hester's role in relation to Vanity Fair ,but don't  mention any about Vanity Fair?",Robert Wallace Hester's role,Robert Wallace Hester's role in Vanity Fair,1,9,90400
bge-m3,excluir_595,"Other than the Benazir Bhutto information he copied, what else is relevant to Ali Saleem himself?",relevant information about Ali Saleem,Benazir Bhutto information,1,6,89584
bge-m3,excluir_3323,"Besides printing The Seven Pillars of Wisdom by T. E. Lawrence, what else did Herbert John Hodgson experience?",experiences of Herbert John Hodgson,experiences related to printing The Seven Pillars of Wisdom by T. E. Lawrence,1,6,56433
bge-m3,excluir_2336,What regions and towns does New York's 1st congressional district include and block all information about Lee Zeldin?,regions and towns in New York's 1st congressional district,information about Lee Zeldin,1,7,89145
bge-m3,excluir_2968,"What kind of membership options does Ivey League offer for different skill levels, excluding any information related to Phil Ivey's involvement?",membership options offered by Ivy League for different skill levels,membership options related to Phil Ivey's involvement,1,14,8491
bge-m3,excluir_1147,"What are the main life experiences of Alexander Lincoln, excluding those related to the Louth Park Monastery?",main life experiences of Alexander Lincoln,life experiences of Alexander Lincoln related to the Louth Park Monastery,2,8,80683
bge-m3,excluir_588,"In addition to starring Carol, also can we know which information about John Magaro？",information about John Magaro,information about John Magaro starring Carol,1,145,90406
bge-m3,excluir_3273,"Excluding the fact that she is Phylicia Rashad's sister, what achievements does Debbie Allen have?",achievements of Debbie Allen,achievements of Debbie Allen as Phylicia Rashad's sister,1,18,69404
bge-m3,excluir_1348,"Can you tell me about George Prosper Verboom's relationship with any historical figure, except for King Philip V of Spain?",George Prosper Verboom's relationship with historical figures,George Prosper Verboom's relationship with King Philip V of Spain,1,74,89656
bge-m3,excluir_2889,"Why is Sergei Rachmaninoff's Piano Sonata No. 1 in D minor, Op. 28 significant, without discussing the composer's personal background or career?","significance of Sergei Rachmaninoff's Piano Sonata No. 1 in D minor, Op. 28",discussions of Sergei Rachmaninoff's personal background or career,3,47,1
bge-m3,excluir_1289,What other groups do Ybor City have besides L'Unione Italiana?,groups in Ybor City,groups in Ybor City besides L'Unione Italiana,1,7986,1
bge-m3,excluir_2977,"What is the historical connection between creosote production and a location, other than Bainbridge Island, Washington?",historical connection between creosote production and a location,"historical connection between creosote production and Bainbridge Island, Washington",2,4743,505
bge-m3,excluir_73,"What was the impact of the 2011 Tōhoku earthquake and tsunami on the city of Kesennuma in Japan, not including mention of the fishing trawler No.18 Kyotoku-maru?",impact of the 2011 Tōhoku earthquake and tsunami on the city of Kesennuma in Japan,impact of the 2011 Tōhoku earthquake and tsunami on the fishing trawler No.18 Kyotoku-maru,1,53,1
bge-m3,excluir_2073,"Who did Richard Harris play in the film ""The Heroes of Telemark""? But don't mention Kirk Douglas",Richard Harris character in the film 'The Heroes of Telemark',Kirk Douglas in the film 'The Heroes of Telemark',1,19,14550
bge-m3,excluir_1461,"Apart from Emmanuel Adebayor, could you also introduce another professional footballer from Togo?",another professional footballer from Togo,Emmanuel Adebayor,5,328,372
bge-m3,excluir_927,"Can you recommend a book that presents arguments against the scientific theory of evolution and supports the concept of intelligent design, but doesn't include any information about Dean H. Kenyon's role in its creation?",book that presents arguments against the scientific theory of evolution and supports the concept of intelligent design,book that includes information about Dean H. Kenyon's role in its creation,2,3038,6
bge-m3,excluir_1940,"What kind of work does Ali Sepasyar have besides Dude, What Would Happen?",work of Ali Sepasyar,"work of Ali Sepasyar related to Dude, What Would Happen",1,101,90352
bge-m3,excluir_21,"Can you list some of the significant roles that Peter Capaldi has played in movies and TV shows, but not including his portrayal of Paddington Bear?",significant roles that Peter Capaldi has played in movies and TV shows,Peter Capaldi's portrayal of Paddington Bear,1,6,57539
bge-m3,excluir_2803,"What can we know about Loudoun House, without considering any information about Francis Scott Key?",information about Loudoun House,information about Francis Scott Key related to Loudoun House,1,7,90404
bge-m3,excluir_2724,"Excluding the connection with Dandenong, Victoria,what can we know about New South Wales Xplorer?",New South Wales Xplorer,"New South Wales Xplorer connection with Dandenong, Victoria",1,168,90401
text-embedding-3-small,excluir_3144,Can you recommend a film with Vanessa Baier in a supporting role instead of the 2015 American romantic comedy Trainwreck?,films with Vanessa Baier in a supporting role,2015 American romantic comedy Trainwreck,2,10,89538
text-embedding-3-small,excluir_3353,"Besides the canned cooked meat brand Spam, which other brand of canned food was shipped to England during World War II?",brands of canned food shipped to England during World War II,canned cooked meat brand Spam,2,1278,64632
text-embedding-3-small,excluir_2779,"What is the main role of RAF Valley and what kind of aircraft is typically used for training fast-jet pilots, without including any details about the BAE Systems Hawk?",main role of RAF Valley and aircraft used for training fast-jet pilots,details about the BAE Systems Hawk,2,8624,1
text-embedding-3-small,excluir_1281,"Except Eric Lindros, what other members does The Legion of Doom include?",members of The Legion of Doom,Eric Lindros as a member of The Legion of Doom,1,164,90406
text-embedding-3-small,excluir_445,"Besides the third-century queen of the Syria-based Palmyrene Empire Septimia Zenobia, who else had great influence on the general Zabdas' life?",influential figures in the life of Zabdas,influential figures related to Septimia Zenobia,2,215,86958
text-embedding-3-small,excluir_2638,"What else has Sonny Moorman's style been likened to, excluding the Eric Clapton band?",Sonny Moorman's style,Sonny Moorman's style likened to the Eric Clapton band,2,78435,1
text-embedding-3-small,excluir_798,"What is the name of the book about Bill Clinton written by someone other than British and American writer, columnist, essayist, orator, religious and literary critic, social critic, and journalist Christopher Hitchens?",book about Bill Clinton,book about Bill Clinton written by Christopher Hitchens,1,29,90366
text-embedding-3-small,excluir_1339,Who else has played Avalanche besides David Hasselhoff?,people who have played Avalanche,David Hasselhoff playing Avalanche,1,957,90406
text-embedding-3-small,excluir_3160,"Who was the lawyer who successfully defended the Earp brothers and Doc Holliday when they were accused of murder after the Gunfight at the O.K. Corral in 1881, but please exclude any information related to Thomas Fitch?",lawyer who successfully defended the Earp brothers and Doc Holliday after the Gunfight at the O.K. Corral in 1881,information related to Thomas Fitch,1,4913,2
text-embedding-3-small,excluir_2150,"What is the Ghana Journals Association, without mentioning any specific individual?",Ghana Journals Association,Ghana Journals Association mentioning specific individuals,2,8,1
text-embedding-3-small,excluir_1048,"What other role did Larisa Oleynik have in the mid-1990s besides ""The Secret World of Alex Mack""?",Larisa Oleynik roles in the mid-1990s,"""The Secret World of Alex Mack""",1,12,90019
text-embedding-3-small,excluir_1421,"Could you name another famous American football player who has played for the Los Angeles Rams in the NFL, other than Eric Dickerson?",famous American football player who has played for the Los Angeles Rams in the NFL,Eric Dickerson,5,152,8968
text-embedding-3-small,excluir_1252,"Other than  History of the telescope, who else made early telescopes?",early telescope makers,History of the telescope,1,9,2
text-embedding-3-small,excluir_144,"What genres did Raymond Louis Kennedy explore in his works, without considering his involvement with The Beach Boys?",genres explored by Raymond Louis Kennedy in his works,genres explored by Raymond Louis Kennedy in relation to The Beach Boys,1,496,90406
text-embedding-3-small,excluir_1618,Can you tell me what role John L. Hudson had at a different location than Wright-Patterson Air Force Base?,role of John L. Hudson at a different location,role of John L. Hudson at Wright-Patterson Air Force Base,1,71,90405
text-embedding-3-small,excluir_2506,"What other roles did Judd Nelson play in which films，besides ""The Breakfast Club""?",roles played by Judd Nelson in films,roles played by Judd Nelson in The Breakfast Club,1,13,43928
text-embedding-3-small,excluir_2648,"Except for ""Reasonbale Doubt"",which album has been used  in musical film ""Sterrts Is Watching""?",albums used in the musical film 'Sterrts Is Watching',album 'Reasonable Doubt',2,2256,90406
text-embedding-3-small,excluir_3363,"Without mentioning Floyds Knobs, Indiana, can you tell me where the station WBNA's transmitter is located?",location of WBNA's transmitter,"location of WBNA's transmitter in Floyds Knobs, Indiana",1,12,90404
text-embedding-3-small,excluir_736,"What role does Marlborough House play in London, aside from its association with the Queen Alexandra Memorial?",role of Marlborough House in London,association of Marlborough House with the Queen Alexandra Memorial,1,57785,1
text-embedding-3-small,excluir_3134,"Can you discuss the significance of Adam Sandler's role in the film To Extremes and how it stands out, without any regard to the 1996 American sports comedy film, directed by Dennis Dugan, scored by Mark Marthersburg and produced by Robert Symonds? Does it star Adam Sandler in ""Happy Gilmore""?",significance of Adam Sandler's role in the film To Extremes,1996 American sports comedy film directed by Dennis Dugan starring Adam Sandler in Happy Gilmore,4,9,42424
text-embedding-3-small,excluir_1120,"What are William Wigan's main achievements, excluding any part about Frederick the Great?",William Wigan's main achievements,William Wigan's achievements related to Frederick the Great,2,12801,90206
text-embedding-3-small,excluir_2565,"What movie did Colleen Duchst star in, apart from The Dead Zone?",movies that Colleen Duchst starred in,The Dead Zone,3,11,90390
text-embedding-3-small,excluir_1830,"Can you tell me about the animated series that Dave Willis has worked on, except for anything related to the FX network show ""Archer""?",animated series that Dave Willis has worked on,animated series that Dave Willis has worked on related to the FX network show 'Archer',1,7,88753
text-embedding-3-small,excluir_2667,"Except for Argentina national basketball team,which team does Máximo Fjellerup have joined in?",teams that Máximo Fjellerup has joined,Argentina national basketball team,1,31,90406
text-embedding-3-small,excluir_1136,Can you tell me Ron Asulin's main job without involving his work as a lecturer at the Sami Over School of Communication at the Heilzlia Interdisciplinary Center?,Ron Asulin's main job,Ron Asulin's work as a lecturer at the Sami Over School of Communication at the Heilzlia Interdisciplinary Center,1,9599,90211
text-embedding-3-small,excluir_2464,"Aside from Thank God I'm a Country Boy, what other songs are on the album ""Real Men""?",songs on the album 'Real Men',Thank God I'm a Country Boy,2,516,81618
text-embedding-3-small,excluir_578,"What is Kevin Fitzgerald most famous for, aside from his appearance on Animal Planet?",Kevin Fitzgerald's most famous achievements,Kevin Fitzgerald's appearance on Animal Planet,1,380,90406
text-embedding-3-small,excluir_564,"What significant accomplishments and career milestones has Angela Lindvall achieved in the fashion industry and as an actress, without including any information about her sister, Audrey Lindvall?",significant accomplishments and career milestones of Angela Lindvall in the fashion industry and as an actress,information about Audrey Lindvall,1,174,1
text-embedding-3-small,excluir_3405,"In addition to the suspense novels represented by Night Chills, what other elements have been incorporated into the work of American author Night Chills?",elements incorporated into the work of American author Night Chills,suspense novels represented by Night Chills,5,354,1
text-embedding-3-small,excluir_3257,"What controversial themes and topics does Eminem explore in his various songs, apart from any information related to American rapper Eminem's song ""Kim""?",controversial themes and topics in Eminem's songs,information related to Eminem's song 'Kim',5,97,752
text-embedding-3-small,excluir_1369,"What are some characteristics and influences of alternative country music as a subgenre, apart from any information about the Cowboy Junkies or their album ""Lay It Down""?",characteristics and influences of alternative country music as a subgenre,information about the Cowboy Junkies or their album 'Lay It Down',2,90288,1
text-embedding-3-small,excluir_1502,"Who else has played for Tottenham Hotspur, aside from Danny Blanchflower?",players who have played for Tottenham Hotspur,players who have played for Tottenham Hotspur aside from Danny Blanchflower,2,47,923
text-embedding-3-small,excluir_1047,"Please tell me the main life experiences of Martha Garth Williams, excluding the part about Robin Williams?",main life experiences of Martha Garth Williams,main life experiences of Martha Garth Williams related to Robin Williams,1,252,71352
text-embedding-3-small,excluir_2909,How did Frank Fox 's father influence his own career without mentioning Charles James Fox?,Frank Fox's father influence on his career,influence of Charles James Fox on Frank Fox's career,1,16,6910
text-embedding-3-small,excluir_1564,"Apart from Betty Grable, who are the other cast members in ""Probation""?",cast members in 'Probation',cast members in 'Probation' excluding Betty Grable,1,317,90406
text-embedding-3-small,excluir_1264,"Excepts studying at Takoradi SeniorHigh School, where else does Joseph Otsman have?",places where Joseph Otsman has studied,studying at Takoradi Senior High School,1,6,90402
text-embedding-3-small,excluir_2531,"Without mentioning Troy Denning, can you tell me a little bit about the siege?",information about the siege,information about the siege mentioning Troy Denning,2,90406,5114
text-embedding-3-small,excluir_3323,"Besides printing The Seven Pillars of Wisdom by T. E. Lawrence, what else did Herbert John Hodgson experience?",experiences of Herbert John Hodgson,experiences related to printing The Seven Pillars of Wisdom by T. E. Lawrence,1,9,89789
text-embedding-3-small,excluir_3072,"Besides Phil Ivey, who else has made significant achievements and contributions to Ivey League, a poker training website founded by American professional poker player Phil Ivey?",significant achievements and contributions to Ivey League,achievements and contributions by Phil Ivey to Ivey League,1,1234,47426
text-embedding-3-small,excluir_2968,"What kind of membership options does Ivey League offer for different skill levels, excluding any information related to Phil Ivey's involvement?",membership options offered by Ivy League for different skill levels,membership options related to Phil Ivey's involvement,1,1506,89218
text-embedding-3-small,excluir_1147,"What are the main life experiences of Alexander Lincoln, excluding those related to the Louth Park Monastery?",main life experiences of Alexander Lincoln,life experiences of Alexander Lincoln related to the Louth Park Monastery,1,12,89805
text-embedding-3-small,excluir_1525,"Other than Liu Yifei, who else stars in ""For Love or Money""?",stars in 'For Love or Money',Liu Yifei stars in 'For Love or Money',1,148,88777
text-embedding-3-small,excluir_1267,What other professions does Arthur Campbell have apart from working at Darjeeling?,professions of Arthur Campbell,professions of Arthur Campbell working at Darjeeling,1,772,90406
text-embedding-3-small,excluir_95,"Can you tell me about the notable investigations conducted by Robert Ray, without including any investigations done by Ken Starr?",notable investigations conducted by Robert Ray,investigations conducted by Ken Starr,1,9,90374
text-embedding-3-small,excluir_1348,"Can you tell me about George Prosper Verboom's relationship with any historical figure, except for King Philip V of Spain?",George Prosper Verboom's relationship with historical figures,George Prosper Verboom's relationship with King Philip V of Spain,1,13,89561
text-embedding-3-small,excluir_2562,In which field of art did Simon Roy make a significant contribution and not provide any information related to Brandon Graham?,field of art where Simon Roy made a significant contribution,information related to Brandon Graham,1,8,90406
text-embedding-3-small,excluir_2993,"Which teams did Hugo Smaldone play for during his professional football career, excluding any clubs in Argentina?",teams Hugo Smaldone played for during his professional football career,clubs in Argentina that Hugo Smaldone played for,1,24,80242
text-embedding-3-small,excluir_1289,What other groups do Ybor City have besides L'Unione Italiana?,groups in Ybor City,groups in Ybor City besides L'Unione Italiana,1,1218,1
text-embedding-3-small,excluir_123,"How was the Oakland Raiders' season in 2013, without taking into account Terrelle Pryor's performance?",Oakland Raiders' season in 2013,Oakland Raiders' season in 2013 considering Terrelle Pryor's performance,1,8,87547
text-embedding-3-small,excluir_2977,"What is the historical connection between creosote production and a location, other than Bainbridge Island, Washington?",historical connection between creosote production and a location,"historical connection between creosote production and Bainbridge Island, Washington",2,1849,217
