model,condition,candidate_top_n,weight_name,weight,beta,beta_over_weight,avg_recall,avg_violation,avg_recall_delta_vs_baseline,avg_violation_drop_vs_baseline,min_recall_delta_vs_baseline_all_k,min_violation_drop_vs_baseline_all_k,strict_recall_kept_all_k,avg_recall_kept,violation_lower_all_k,violation_lower_avg,method,source_csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,20,alpha,2,0.3,0.15,0.94525,0.654,-0.0005,0.0875,-0.002,0.083,False,False,True,True,score_anti_rrf_no_target_c20_a2_b0.3,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,20,alpha,2,0.5,0.25,0.9435,0.5995,-0.00225,0.142,-0.003,0.139,False,False,True,True,score_anti_rrf_no_target_c20_a2_b0.5,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,20,alpha,2,0.75,0.375,0.94275,0.5315,-0.003,0.21,-0.005,0.207,False,False,True,True,score_anti_rrf_no_target_c20_a2_b0.75,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,20,alpha,2,1,0.5,0.94125,0.46775,-0.0045,0.27375,-0.008,0.264,False,False,True,True,score_anti_rrf_no_target_c20_a2_b1,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,0,0.1,,0.852,0.581,-0.09375,0.1605,-0.375,0,False,False,False,True,score_anti_rrf_no_target_c5_a0_b0.1,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,0,0.2,,0.852,0.581,-0.09375,0.1605,-0.375,0,False,False,False,True,score_anti_rrf_no_target_c5_a0_b0.2,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,0,0.3,,0.852,0.581,-0.09375,0.1605,-0.375,0,False,False,False,True,score_anti_rrf_no_target_c5_a0_b0.3,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,0,0.5,,0.852,0.581,-0.09375,0.1605,-0.375,0,False,False,False,True,score_anti_rrf_no_target_c5_a0_b0.5,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,0,0.75,,0.852,0.581,-0.09375,0.1605,-0.375,0,False,False,False,True,score_anti_rrf_no_target_c5_a0_b0.75,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,0,1,,0.852,0.581,-0.09375,0.1605,-0.375,0,False,False,False,True,score_anti_rrf_no_target_c5_a0_b1,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,0.25,0.1,0.4,0.9445,0.6935,-0.00125,0.048,-0.005,0,False,False,False,True,score_anti_rrf_no_target_c5_a0.25_b0.1,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,0.25,0.2,0.8,0.94425,0.6615,-0.0015,0.08,-0.006,0,False,False,False,True,score_anti_rrf_no_target_c5_a0.25_b0.2,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,0.25,0.3,1.2,0.936,0.6035,-0.00975,0.138,-0.039,0,False,False,False,True,score_anti_rrf_no_target_c5_a0.25_b0.3,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,0.25,0.5,2,0.916,0.5865,-0.02975,0.155,-0.119,0,False,False,False,True,score_anti_rrf_no_target_c5_a0.25_b0.5,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,0.25,0.75,3,0.902,0.584,-0.04375,0.1575,-0.175,0,False,False,False,True,score_anti_rrf_no_target_c5_a0.25_b0.75,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,0.25,1,4,0.8925,0.58325,-0.05325,0.15825,-0.213,0,False,False,False,True,score_anti_rrf_no_target_c5_a0.25_b1,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,0.5,0.1,0.2,0.945,0.71675,-0.00075,0.02475,-0.003,0,False,False,False,True,score_anti_rrf_no_target_c5_a0.5_b0.1,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,0.5,0.2,0.4,0.9445,0.6935,-0.00125,0.048,-0.005,0,False,False,False,True,score_anti_rrf_no_target_c5_a0.5_b0.2,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,0.5,0.3,0.6,0.94475,0.6765,-0.001,0.065,-0.004,0,False,False,False,True,score_anti_rrf_no_target_c5_a0.5_b0.3,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,0.5,0.5,1,0.94325,0.639,-0.0025,0.1025,-0.01,0,False,False,False,True,score_anti_rrf_no_target_c5_a0.5_b0.5,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,0.5,0.75,1.5,0.9255,0.5915,-0.02025,0.15,-0.081,0,False,False,False,True,score_anti_rrf_no_target_c5_a0.5_b0.75,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,0.5,1,2,0.916,0.5865,-0.02975,0.155,-0.119,0,False,False,False,True,score_anti_rrf_no_target_c5_a0.5_b1,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,0.75,0.1,0.133333,0.94525,0.72375,-0.0005,0.01775,-0.002,0,False,False,False,True,score_anti_rrf_no_target_c5_a0.75_b0.1,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,0.75,0.2,0.266667,0.945,0.70925,-0.00075,0.03225,-0.003,0,False,False,False,True,score_anti_rrf_no_target_c5_a0.75_b0.2,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,0.75,0.3,0.4,0.9445,0.6935,-0.00125,0.048,-0.005,0,False,False,False,True,score_anti_rrf_no_target_c5_a0.75_b0.3,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,0.75,0.5,0.666667,0.9445,0.6715,-0.00125,0.07,-0.005,0,False,False,False,True,score_anti_rrf_no_target_c5_a0.75_b0.5,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,0.75,0.75,1,0.94325,0.639,-0.0025,0.1025,-0.01,0,False,False,False,True,score_anti_rrf_no_target_c5_a0.75_b0.75,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,0.75,1,1.33333,0.9305,0.59425,-0.01525,0.14725,-0.061,0,False,False,False,True,score_anti_rrf_no_target_c5_a0.75_b1,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,1,0.1,0.1,0.9455,0.72875,-0.00025,0.01275,-0.001,0,False,False,False,True,score_anti_rrf_no_target_c5_a1_b0.1,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,1,0.2,0.2,0.945,0.71675,-0.00075,0.02475,-0.003,0,False,False,False,True,score_anti_rrf_no_target_c5_a1_b0.2,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,1,0.3,0.3,0.945,0.70525,-0.00075,0.03625,-0.003,0,False,False,False,True,score_anti_rrf_no_target_c5_a1_b0.3,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,1,0.5,0.5,0.94475,0.6845,-0.001,0.057,-0.004,0,False,False,False,True,score_anti_rrf_no_target_c5_a1_b0.5,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,1,0.75,0.75,0.9445,0.6645,-0.00125,0.077,-0.005,0,False,False,False,True,score_anti_rrf_no_target_c5_a1_b0.75,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,1,1,1,0.94325,0.639,-0.0025,0.1025,-0.01,0,False,False,False,True,score_anti_rrf_no_target_c5_a1_b1,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,1.5,0.1,0.0666667,0.94575,0.734,0,0.0075,0,0,True,True,False,True,score_anti_rrf_no_target_c5_a1.5_b0.1,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,1.5,0.2,0.133333,0.94525,0.72375,-0.0005,0.01775,-0.002,0,False,False,False,True,score_anti_rrf_no_target_c5_a1.5_b0.2,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,1.5,0.3,0.2,0.945,0.71675,-0.00075,0.02475,-0.003,0,False,False,False,True,score_anti_rrf_no_target_c5_a1.5_b0.3,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,1.5,0.5,0.333333,0.94475,0.701,-0.001,0.0405,-0.004,0,False,False,False,True,score_anti_rrf_no_target_c5_a1.5_b0.5,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,1.5,0.75,0.5,0.94475,0.6845,-0.001,0.057,-0.004,0,False,False,False,True,score_anti_rrf_no_target_c5_a1.5_b0.75,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,1.5,1,0.666667,0.9445,0.6715,-0.00125,0.07,-0.005,0,False,False,False,True,score_anti_rrf_no_target_c5_a1.5_b1,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,2,0.1,0.05,0.94575,0.73575,0,0.00575,0,0,True,True,False,True,score_anti_rrf_no_target_c5_a2_b0.1,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,2,0.2,0.1,0.9455,0.72875,-0.00025,0.01275,-0.001,0,False,False,False,True,score_anti_rrf_no_target_c5_a2_b0.2,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,2,0.3,0.15,0.94525,0.72225,-0.0005,0.01925,-0.002,0,False,False,False,True,score_anti_rrf_no_target_c5_a2_b0.3,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,2,0.5,0.25,0.945,0.71125,-0.00075,0.03025,-0.003,0,False,False,False,True,score_anti_rrf_no_target_c5_a2_b0.5,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,2,0.75,0.375,0.94475,0.6955,-0.001,0.046,-0.004,0,False,False,False,True,score_anti_rrf_no_target_c5_a2_b0.75,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,2,1,0.5,0.94475,0.6845,-0.001,0.057,-0.004,0,False,False,False,True,score_anti_rrf_no_target_c5_a2_b1,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,all,alpha,0,0.1,,0,0,-0.94575,0.7415,-0.957,0.669,False,False,True,True,score_anti_rrf_no_target_call_a0_b0.1,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,all,alpha,0,0.2,,0,0,-0.94575,0.7415,-0.957,0.669,False,False,True,True,score_anti_rrf_no_target_call_a0_b0.2,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,all,alpha,0,0.3,,0,0,-0.94575,0.7415,-0.957,0.669,False,False,True,True,score_anti_rrf_no_target_call_a0_b0.3,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,all,alpha,0,0.5,,0,0,-0.94575,0.7415,-0.957,0.669,False,False,True,True,score_anti_rrf_no_target_call_a0_b0.5,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,all,alpha,0,0.75,,0,0,-0.94575,0.7415,-0.957,0.669,False,False,True,True,score_anti_rrf_no_target_call_a0_b0.75,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,all,alpha,0,1,,0,0,-0.94575,0.7415,-0.957,0.669,False,False,True,True,score_anti_rrf_no_target_call_a0_b1,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,all,alpha,0.25,0.1,0.4,0.93575,0.29775,-0.01,0.44375,-0.012,0.428,False,False,True,True,score_anti_rrf_no_target_call_a0.25_b0.1,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,all,alpha,0.25,0.2,0.8,0.866,0.0395,-0.07975,0.702,-0.088,0.633,False,False,True,True,score_anti_rrf_no_target_call_a0.25_b0.2,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,all,alpha,0.25,0.3,1.2,0.67125,0.0175,-0.2745,0.724,-0.297,0.653,False,False,True,True,score_anti_rrf_no_target_call_a0.25_b0.3,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,all,alpha,0.25,0.5,2,0.2375,0.00525,-0.70825,0.73625,-0.72,0.664,False,False,True,True,score_anti_rrf_no_target_call_a0.25_b0.5,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,all,alpha,0.25,0.75,3,0.05225,0.001,-0.8935,0.7405,-0.898,0.668,False,False,True,True,score_anti_rrf_no_target_call_a0.25_b0.75,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,all,alpha,0.25,1,4,0.01025,0,-0.9355,0.7415,-0.944,0.669,False,False,True,True,score_anti_rrf_no_target_call_a0.25_b1,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,all,alpha,0.5,0.1,0.2,0.94175,0.51775,-0.004,0.22375,-0.008,0.216,False,False,True,True,score_anti_rrf_no_target_call_a0.5_b0.1,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,all,alpha,0.5,0.2,0.4,0.93575,0.29775,-0.01,0.44375,-0.012,0.428,False,False,True,True,score_anti_rrf_no_target_call_a0.5_b0.2,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,all,alpha,0.5,0.3,0.6,0.9135,0.11325,-0.03225,0.62825,-0.035,0.581,False,False,True,True,score_anti_rrf_no_target_call_a0.5_b0.3,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,all,alpha,0.5,0.5,1,0.76925,0.026,-0.1765,0.7155,-0.191,0.649,False,False,True,True,score_anti_rrf_no_target_call_a0.5_b0.5,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,all,alpha,0.5,0.75,1.5,0.47825,0.0085,-0.4675,0.733,-0.486,0.661,False,False,True,True,score_anti_rrf_no_target_call_a0.5_b0.75,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,all,alpha,0.5,1,2,0.2375,0.00525,-0.70825,0.73625,-0.72,0.664,False,False,True,True,score_anti_rrf_no_target_call_a0.5_b1,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,all,alpha,0.75,0.1,0.133333,0.94275,0.59475,-0.003,0.14675,-0.006,0.143,False,False,True,True,score_anti_rrf_no_target_call_a0.75_b0.1,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,all,alpha,0.75,0.2,0.266667,0.9405,0.44375,-0.00525,0.29775,-0.008,0.287,False,False,True,True,score_anti_rrf_no_target_call_a0.75_b0.2,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,all,alpha,0.75,0.3,0.4,0.93575,0.29775,-0.01,0.44375,-0.012,0.428,False,False,True,True,score_anti_rrf_no_target_call_a0.75_b0.3,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,all,alpha,0.75,0.5,0.666667,0.903,0.072,-0.04275,0.6695,-0.049,0.613,False,False,True,True,score_anti_rrf_no_target_call_a0.75_b0.5,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,all,alpha,0.75,0.75,1,0.76925,0.026,-0.1765,0.7155,-0.191,0.649,False,False,True,True,score_anti_rrf_no_target_call_a0.75_b0.75,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,all,alpha,0.75,1,1.33333,0.58425,0.01325,-0.3615,0.72825,-0.388,0.657,False,False,True,True,score_anti_rrf_no_target_call_a0.75_b1,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,all,alpha,1,0.1,0.1,0.94525,0.6295,-0.0005,0.112,-0.002,0.106,False,False,True,True,score_anti_rrf_no_target_call_a1_b0.1,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,all,alpha,1,0.2,0.2,0.94175,0.51775,-0.004,0.22375,-0.008,0.216,False,False,True,True,score_anti_rrf_no_target_call_a1_b0.2,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,all,alpha,1,0.3,0.3,0.9405,0.4045,-0.00525,0.337,-0.009,0.325,False,False,True,True,score_anti_rrf_no_target_call_a1_b0.3,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,all,alpha,1,0.5,0.5,0.92825,0.1855,-0.0175,0.556,-0.019,0.525,False,False,True,True,score_anti_rrf_no_target_call_a1_b0.5,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,all,alpha,1,0.75,0.75,0.88325,0.04475,-0.0625,0.69675,-0.068,0.631,False,False,True,True,score_anti_rrf_no_target_call_a1_b0.75,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,all,alpha,1,1,1,0.76925,0.026,-0.1765,0.7155,-0.191,0.649,False,False,True,True,score_anti_rrf_no_target_call_a1_b1,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,all,alpha,1.5,0.1,0.0666667,0.9465,0.663,0.00075,0.0785,0,0.074,True,True,True,True,score_anti_rrf_no_target_call_a1.5_b0.1,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,all,alpha,1.5,0.2,0.133333,0.94275,0.59475,-0.003,0.14675,-0.006,0.143,False,False,True,True,score_anti_rrf_no_target_call_a1.5_b0.2,results/excluir_1000_qwen3_embedding_0_6b_rewriter_gpt4o_mini_v3_oracle_style_trap_no_target_top3579/score_anti_rrf_results.csv
